# checkSRC_URI result
# root : /data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/
# date : 2026-05-22 11:10:31
# STATUS	FILE	URI
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-extended/xz/xz_5.8.1.bb	https://github.com/tukaani-project/xz/releases/download/v${PV}/xz-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-proxy/capicxx-core-runtime/capicxx-core-runtime_3.1.12.bb	git://vgit.lge.com:29420/oss/github.com/GENIVI/${BPN}.git;tag=3.1.12.6;protocol=ssh
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-proxy/capicxx-someip-runtime/capicxx-someip-runtime_3.1.12.bb	git://vgit.lge.com:29420/oss/github.com/GENIVI/${BPN}.git;tag=3.1.12.6;protocol=ssh
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-proxy/vsomeip/vsomeip_2.14.16.bb	git://vgit.lge.com:29420/oss/github.com/GENIVI/${BPN}.git;tag=2.14.16;protocol=ssh
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-security/audit/audit_3.1.1.bb	http://people.redhat.com/sgrubb/${BPN}/${BPN}-${PV}.tar.gz
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-security/audit/audit_3.1.1.bbappend	git://github.com/linux-audit/${BPN}-userspace.git;branch=master;protocol=https
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-security/iptables/iptables_1.8.4.bb	http://netfilter.org/projects/iptables/files/iptables-${PV}.tar.bz2
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-services/lgvf/lgvf.bb	file://${LGVF_FILE}
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-services/smartcard-service/smartcard-service-interface.bbappend	file://${PN}-append.json
SKIP	/data001/vc.integrator/Docker_MountDIR/build_dev/__DEV_HONDA26__NO_MIRROR/nad/LGE/metalayer/meta-lge-honda-tsu/recipes-support/curl/curl_8.12.1.bb	https://curl.se/download/${BP}.tar.xz
